[2024-12-23T10:54:16.987+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-12-23T10:54:17.019+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: streaming_pipeline.speech_to_datalake manual__2024-12-23T10:54:13.139664+00:00 [queued]>
[2024-12-23T10:54:17.029+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: streaming_pipeline.speech_to_datalake manual__2024-12-23T10:54:13.139664+00:00 [queued]>
[2024-12-23T10:54:17.030+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-12-23T10:54:17.047+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): speech_to_datalake> on 2024-12-23 10:54:13.139664+00:00
[2024-12-23T10:54:17.055+0000] {standard_task_runner.py:63} INFO - Started process 868 to run task
[2024-12-23T10:54:17.058+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'streaming_pipeline', 'speech_to_datalake', 'manual__2024-12-23T10:54:13.139664+00:00', '--job-id', '92', '--raw', '--subdir', 'DAGS_FOLDER/pipline_stream.py', '--cfg-path', '/tmp/tmpe4rbk99p']
[2024-12-23T10:54:17.060+0000] {standard_task_runner.py:91} INFO - Job 92: Subtask speech_to_datalake
[2024-12-23T10:54:17.130+0000] {task_command.py:426} INFO - Running <TaskInstance: streaming_pipeline.speech_to_datalake manual__2024-12-23T10:54:13.139664+00:00 [running]> on host 0b4a5bf62610
[2024-12-23T10:54:17.245+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='streaming_pipeline' AIRFLOW_CTX_TASK_ID='speech_to_datalake' AIRFLOW_CTX_EXECUTION_DATE='2024-12-23T10:54:13.139664+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-23T10:54:13.139664+00:00'
[2024-12-23T10:54:17.247+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-12-23T10:54:17.278+0000] {logging_mixin.py:188} INFO - Bucket raw already exists, skip creating!
[2024-12-23T10:54:17.283+0000] {conn.py:362} INFO - <BrokerConnection node_id=bootstrap-0 host=broker:29092 <connecting> [IPv4 ('172.19.0.9', 29092)]>: connecting to broker:29092 [('172.19.0.9', 29092) IPv4]
[2024-12-23T10:54:17.284+0000] {conn.py:957} INFO - Probing node bootstrap-0 broker version
[2024-12-23T10:54:17.286+0000] {conn.py:393} INFO - <BrokerConnection node_id=bootstrap-0 host=broker:29092 <connecting> [IPv4 ('172.19.0.9', 29092)]>: Connection complete.
[2024-12-23T10:54:17.410+0000] {conn.py:1019} INFO - Broker version identified as 2.6.0
[2024-12-23T10:54:17.420+0000] {conn.py:1020} INFO - Set configuration api_version=(2, 6, 0) to skip auto check_version requests on startup
[2024-12-23T10:54:17.426+0000] {consumer.py:122} WARNING - group_id is None: disabling auto-commit.
[2024-12-23T10:54:17.430+0000] {subscription_state.py:167} INFO - Updating subscribed topics to: ('raw_speech',)
[2024-12-23T10:54:17.433+0000] {logging_mixin.py:188} INFO - Start consuming messages...
