[2024-12-23T11:12:57.957+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-12-23T11:12:57.990+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T11:12:53.548733+00:00 [queued]>
[2024-12-23T11:12:58.000+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T11:12:53.548733+00:00 [queued]>
[2024-12-23T11:12:58.001+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-12-23T11:12:58.025+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): image_to_datalake> on 2024-12-23 11:12:53.548733+00:00
[2024-12-23T11:12:58.034+0000] {standard_task_runner.py:63} INFO - Started process 4985 to run task
[2024-12-23T11:12:58.036+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'streaming_pipeline', 'image_to_datalake', 'manual__2024-12-23T11:12:53.548733+00:00', '--job-id', '115', '--raw', '--subdir', 'DAGS_FOLDER/pipline_stream.py', '--cfg-path', '/tmp/tmpyxpah8ef']
[2024-12-23T11:12:58.039+0000] {standard_task_runner.py:91} INFO - Job 115: Subtask image_to_datalake
[2024-12-23T11:12:58.096+0000] {task_command.py:426} INFO - Running <TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T11:12:53.548733+00:00 [running]> on host 0b4a5bf62610
[2024-12-23T11:12:58.191+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='streaming_pipeline' AIRFLOW_CTX_TASK_ID='image_to_datalake' AIRFLOW_CTX_EXECUTION_DATE='2024-12-23T11:12:53.548733+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-23T11:12:53.548733+00:00'
[2024-12-23T11:12:58.192+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-12-23T11:12:58.218+0000] {logging_mixin.py:188} INFO - Bucket raw already exists, skip creating!
[2024-12-23T11:12:58.222+0000] {conn.py:362} INFO - <BrokerConnection node_id=bootstrap-0 host=broker:29092 <connecting> [IPv4 ('172.19.0.9', 29092)]>: connecting to broker:29092 [('172.19.0.9', 29092) IPv4]
[2024-12-23T11:12:58.223+0000] {conn.py:957} INFO - Probing node bootstrap-0 broker version
[2024-12-23T11:12:58.225+0000] {conn.py:393} INFO - <BrokerConnection node_id=bootstrap-0 host=broker:29092 <connecting> [IPv4 ('172.19.0.9', 29092)]>: Connection complete.
[2024-12-23T11:12:58.331+0000] {conn.py:1019} INFO - Broker version identified as 2.6.0
[2024-12-23T11:12:58.332+0000] {conn.py:1020} INFO - Set configuration api_version=(2, 6, 0) to skip auto check_version requests on startup
[2024-12-23T11:12:58.334+0000] {consumer.py:122} WARNING - group_id is None: disabling auto-commit.
[2024-12-23T11:12:58.335+0000] {subscription_state.py:167} INFO - Updating subscribed topics to: ('raw_image_2024_2',)
[2024-12-23T11:12:58.335+0000] {logging_mixin.py:188} INFO - Start consuming messages...
[2024-12-23T11:12:58.460+0000] {subscription_state.py:253} INFO - Updated partition assignment: [('raw_image_2024_2', 0)]
[2024-12-23T11:12:58.462+0000] {conn.py:362} INFO - <BrokerConnection node_id=1 host=broker:29092 <connecting> [IPv4 ('172.19.0.9', 29092)]>: connecting to broker:29092 [('172.19.0.9', 29092) IPv4]
[2024-12-23T11:12:58.463+0000] {conn.py:393} INFO - <BrokerConnection node_id=1 host=broker:29092 <connecting> [IPv4 ('172.19.0.9', 29092)]>: Connection complete.
[2024-12-23T11:12:58.464+0000] {conn.py:673} INFO - <BrokerConnection node_id=bootstrap-0 host=broker:29092 <connected> [IPv4 ('172.19.0.9', 29092)]>: Closing connection. 
[2024-12-23T11:12:58.909+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000001.jpg
[2024-12-23T11:13:01.333+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000002.jpg
[2024-12-23T11:13:03.705+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000003.jpg
[2024-12-23T11:13:06.173+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000004.jpg
[2024-12-23T11:13:08.526+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000005.jpg
[2024-12-23T11:13:10.823+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000006.jpg
[2024-12-23T11:13:13.087+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000007.jpg
[2024-12-23T11:13:15.382+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000008.jpg
[2024-12-23T11:13:17.686+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000009.jpg
[2024-12-23T11:13:19.984+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000010.jpg
[2024-12-23T11:13:22.269+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000011.jpg
[2024-12-23T11:13:24.573+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000012.jpg
[2024-12-23T11:13:27.019+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000013.jpg
[2024-12-23T11:13:29.324+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000014.jpg
[2024-12-23T11:13:31.635+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000015.jpg
[2024-12-23T11:13:33.939+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000016.jpg
[2024-12-23T11:13:36.431+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000017.jpg
[2024-12-23T11:13:38.863+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000018.jpg
[2024-12-23T11:13:41.185+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000019.jpg
[2024-12-23T11:13:43.557+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000020.jpg
