[2024-12-23T17:17:37.590+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-12-23T17:17:37.627+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: streaming_pipeline.speech_to_datalake manual__2024-12-23T17:17:32.821041+00:00 [queued]>
[2024-12-23T17:17:37.638+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: streaming_pipeline.speech_to_datalake manual__2024-12-23T17:17:32.821041+00:00 [queued]>
[2024-12-23T17:17:37.639+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-12-23T17:17:37.656+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): speech_to_datalake> on 2024-12-23 17:17:32.821041+00:00
[2024-12-23T17:17:37.665+0000] {standard_task_runner.py:63} INFO - Started process 243 to run task
[2024-12-23T17:17:37.668+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'streaming_pipeline', 'speech_to_datalake', 'manual__2024-12-23T17:17:32.821041+00:00', '--job-id', '138', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_stream.py', '--cfg-path', '/tmp/tmp6o6fdqr9']
[2024-12-23T17:17:37.671+0000] {standard_task_runner.py:91} INFO - Job 138: Subtask speech_to_datalake
[2024-12-23T17:17:37.741+0000] {task_command.py:426} INFO - Running <TaskInstance: streaming_pipeline.speech_to_datalake manual__2024-12-23T17:17:32.821041+00:00 [running]> on host 0b4a5bf62610
[2024-12-23T17:17:37.899+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='streaming_pipeline' AIRFLOW_CTX_TASK_ID='speech_to_datalake' AIRFLOW_CTX_EXECUTION_DATE='2024-12-23T17:17:32.821041+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-23T17:17:32.821041+00:00'
[2024-12-23T17:17:37.904+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-12-23T17:17:37.993+0000] {logging_mixin.py:188} INFO - Bucket raw already exists, skip creating!
[2024-12-23T17:17:37.998+0000] {conn.py:362} INFO - <BrokerConnection node_id=bootstrap-0 host=broker:29092 <connecting> [IPv4 ('172.19.0.4', 29092)]>: connecting to broker:29092 [('172.19.0.4', 29092) IPv4]
[2024-12-23T17:17:37.999+0000] {conn.py:957} INFO - Probing node bootstrap-0 broker version
[2024-12-23T17:17:38.001+0000] {conn.py:393} INFO - <BrokerConnection node_id=bootstrap-0 host=broker:29092 <connecting> [IPv4 ('172.19.0.4', 29092)]>: Connection complete.
[2024-12-23T17:17:38.112+0000] {conn.py:1019} INFO - Broker version identified as 2.6.0
[2024-12-23T17:17:38.113+0000] {conn.py:1020} INFO - Set configuration api_version=(2, 6, 0) to skip auto check_version requests on startup
[2024-12-23T17:17:38.115+0000] {consumer.py:122} WARNING - group_id is None: disabling auto-commit.
[2024-12-23T17:17:38.117+0000] {subscription_state.py:167} INFO - Updating subscribed topics to: ('raw_speech_2024_3',)
[2024-12-23T17:17:38.118+0000] {logging_mixin.py:188} INFO - Start consuming messages...
[2024-12-23T17:17:38.243+0000] {subscription_state.py:253} INFO - Updated partition assignment: [('raw_speech_2024_3', 0)]
[2024-12-23T17:17:38.245+0000] {conn.py:362} INFO - <BrokerConnection node_id=1 host=broker:29092 <connecting> [IPv4 ('172.19.0.4', 29092)]>: connecting to broker:29092 [('172.19.0.4', 29092) IPv4]
[2024-12-23T17:17:38.247+0000] {conn.py:393} INFO - <BrokerConnection node_id=1 host=broker:29092 <connecting> [IPv4 ('172.19.0.4', 29092)]>: Connection complete.
[2024-12-23T17:17:38.248+0000] {conn.py:673} INFO - <BrokerConnection node_id=bootstrap-0 host=broker:29092 <connected> [IPv4 ('172.19.0.4', 29092)]>: Closing connection. 
[2024-12-23T17:17:39.602+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000001.mp3
[2024-12-23T17:17:41.848+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000002.mp3
[2024-12-23T17:17:44.151+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000003.mp3
[2024-12-23T17:17:46.574+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000004.mp3
[2024-12-23T17:17:48.917+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000005.mp3
[2024-12-23T17:17:51.187+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000006.mp3
[2024-12-23T17:17:53.503+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000007.mp3
[2024-12-23T17:17:55.785+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000008.mp3
[2024-12-23T17:17:58.060+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000009.mp3
[2024-12-23T17:18:00.371+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000010.mp3
[2024-12-23T17:18:02.630+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000011.mp3
[2024-12-23T17:18:04.919+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000012.mp3
[2024-12-23T17:18:07.443+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000013.mp3
[2024-12-23T17:18:09.747+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000014.mp3
[2024-12-23T17:18:12.018+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000015.mp3
[2024-12-23T17:18:14.304+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000016.mp3
[2024-12-23T17:18:16.650+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000017.mp3
[2024-12-23T17:18:18.970+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000018.mp3
[2024-12-23T17:18:21.418+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000019.mp3
[2024-12-23T17:18:23.865+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000020.mp3
[2024-12-23T17:18:26.161+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000021.mp3
[2024-12-23T17:18:28.494+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000022.mp3
[2024-12-23T17:18:30.861+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000023.mp3
[2024-12-23T17:18:33.212+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000024.mp3
[2024-12-23T17:18:35.455+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000025.mp3
[2024-12-23T17:18:37.804+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000026.mp3
[2024-12-23T17:18:40.139+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000027.mp3
[2024-12-23T17:18:42.395+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000028.mp3
[2024-12-23T17:18:44.725+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000029.mp3
