[2024-12-23T20:05:06.351+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-12-23T20:05:06.400+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T20:05:02.640785+00:00 [queued]>
[2024-12-23T20:05:06.416+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T20:05:02.640785+00:00 [queued]>
[2024-12-23T20:05:06.418+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-12-23T20:05:06.441+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): image_to_datalake> on 2024-12-23 20:05:02.640785+00:00
[2024-12-23T20:05:06.455+0000] {standard_task_runner.py:63} INFO - Started process 219 to run task
[2024-12-23T20:05:06.461+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'streaming_pipeline', 'image_to_datalake', 'manual__2024-12-23T20:05:02.640785+00:00', '--job-id', '167', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_stream.py', '--cfg-path', '/tmp/tmpq_eka3t9']
[2024-12-23T20:05:06.464+0000] {standard_task_runner.py:91} INFO - Job 167: Subtask image_to_datalake
[2024-12-23T20:05:06.552+0000] {task_command.py:426} INFO - Running <TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T20:05:02.640785+00:00 [running]> on host 0b4a5bf62610
[2024-12-23T20:05:06.699+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='streaming_pipeline' AIRFLOW_CTX_TASK_ID='image_to_datalake' AIRFLOW_CTX_EXECUTION_DATE='2024-12-23T20:05:02.640785+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-23T20:05:02.640785+00:00'
[2024-12-23T20:05:06.702+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-12-23T20:05:06.739+0000] {logging_mixin.py:188} INFO - Bucket raw already exists, skip creating!
[2024-12-23T20:05:06.743+0000] {conn.py:362} INFO - <BrokerConnection node_id=bootstrap-0 host=broker:29092 <connecting> [IPv4 ('172.19.0.5', 29092)]>: connecting to broker:29092 [('172.19.0.5', 29092) IPv4]
[2024-12-23T20:05:06.744+0000] {conn.py:957} INFO - Probing node bootstrap-0 broker version
[2024-12-23T20:05:06.745+0000] {conn.py:393} INFO - <BrokerConnection node_id=bootstrap-0 host=broker:29092 <connecting> [IPv4 ('172.19.0.5', 29092)]>: Connection complete.
[2024-12-23T20:05:06.859+0000] {conn.py:1019} INFO - Broker version identified as 2.6.0
[2024-12-23T20:05:06.860+0000] {conn.py:1020} INFO - Set configuration api_version=(2, 6, 0) to skip auto check_version requests on startup
[2024-12-23T20:05:06.863+0000] {consumer.py:122} WARNING - group_id is None: disabling auto-commit.
[2024-12-23T20:05:06.865+0000] {subscription_state.py:167} INFO - Updating subscribed topics to: ('raw_image_2024_01_01',)
[2024-12-23T20:05:06.866+0000] {logging_mixin.py:188} INFO - Start consuming messages...
[2024-12-23T20:05:07.098+0000] {subscription_state.py:253} INFO - Updated partition assignment: [('raw_image_2024_01_01', 0)]
[2024-12-23T20:05:07.101+0000] {conn.py:362} INFO - <BrokerConnection node_id=1 host=broker:29092 <connecting> [IPv4 ('172.19.0.5', 29092)]>: connecting to broker:29092 [('172.19.0.5', 29092) IPv4]
[2024-12-23T20:05:07.102+0000] {conn.py:393} INFO - <BrokerConnection node_id=1 host=broker:29092 <connecting> [IPv4 ('172.19.0.5', 29092)]>: Connection complete.
[2024-12-23T20:05:07.103+0000] {conn.py:673} INFO - <BrokerConnection node_id=bootstrap-0 host=broker:29092 <connected> [IPv4 ('172.19.0.5', 29092)]>: Closing connection. 
[2024-12-23T20:05:07.960+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000001.jpg
[2024-12-23T20:05:09.977+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000002.jpg
[2024-12-23T20:05:12.271+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000003.jpg
[2024-12-23T20:05:14.549+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000004.jpg
[2024-12-23T20:05:16.926+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000005.jpg
[2024-12-23T20:05:19.263+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000006.jpg
[2024-12-23T20:05:21.532+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000007.jpg
[2024-12-23T20:05:23.818+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000008.jpg
[2024-12-23T20:05:26.112+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000009.jpg
[2024-12-23T20:05:28.435+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000010.jpg
[2024-12-23T20:05:30.759+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000011.jpg
[2024-12-23T20:05:33.041+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000012.jpg
[2024-12-23T20:05:35.322+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000013.jpg
[2024-12-23T20:05:37.608+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000014.jpg
[2024-12-23T20:05:39.876+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000015.jpg
[2024-12-23T20:05:42.216+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000016.jpg
