[2024-12-23T20:05:06.337+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-12-23T20:05:06.380+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: streaming_pipeline.speech_to_datalake manual__2024-12-23T20:05:02.640785+00:00 [queued]>
[2024-12-23T20:05:06.395+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: streaming_pipeline.speech_to_datalake manual__2024-12-23T20:05:02.640785+00:00 [queued]>
[2024-12-23T20:05:06.396+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-12-23T20:05:06.419+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): speech_to_datalake> on 2024-12-23 20:05:02.640785+00:00
[2024-12-23T20:05:06.429+0000] {standard_task_runner.py:63} INFO - Started process 217 to run task
[2024-12-23T20:05:06.432+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'streaming_pipeline', 'speech_to_datalake', 'manual__2024-12-23T20:05:02.640785+00:00', '--job-id', '166', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_stream.py', '--cfg-path', '/tmp/tmpz36q_om3']
[2024-12-23T20:05:06.437+0000] {standard_task_runner.py:91} INFO - Job 166: Subtask speech_to_datalake
[2024-12-23T20:05:06.514+0000] {task_command.py:426} INFO - Running <TaskInstance: streaming_pipeline.speech_to_datalake manual__2024-12-23T20:05:02.640785+00:00 [running]> on host 0b4a5bf62610
[2024-12-23T20:05:06.658+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='streaming_pipeline' AIRFLOW_CTX_TASK_ID='speech_to_datalake' AIRFLOW_CTX_EXECUTION_DATE='2024-12-23T20:05:02.640785+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-23T20:05:02.640785+00:00'
[2024-12-23T20:05:06.659+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-12-23T20:05:06.701+0000] {logging_mixin.py:188} INFO - Bucket raw already exists, skip creating!
[2024-12-23T20:05:06.705+0000] {conn.py:362} INFO - <BrokerConnection node_id=bootstrap-0 host=broker:29092 <connecting> [IPv4 ('172.19.0.5', 29092)]>: connecting to broker:29092 [('172.19.0.5', 29092) IPv4]
[2024-12-23T20:05:06.706+0000] {conn.py:957} INFO - Probing node bootstrap-0 broker version
[2024-12-23T20:05:06.708+0000] {conn.py:393} INFO - <BrokerConnection node_id=bootstrap-0 host=broker:29092 <connecting> [IPv4 ('172.19.0.5', 29092)]>: Connection complete.
[2024-12-23T20:05:06.823+0000] {conn.py:1019} INFO - Broker version identified as 2.6.0
[2024-12-23T20:05:06.824+0000] {conn.py:1020} INFO - Set configuration api_version=(2, 6, 0) to skip auto check_version requests on startup
[2024-12-23T20:05:06.827+0000] {consumer.py:122} WARNING - group_id is None: disabling auto-commit.
[2024-12-23T20:05:06.831+0000] {subscription_state.py:167} INFO - Updating subscribed topics to: ('raw_speech_2024_01_01',)
[2024-12-23T20:05:06.832+0000] {logging_mixin.py:188} INFO - Start consuming messages...
[2024-12-23T20:05:06.986+0000] {subscription_state.py:253} INFO - Updated partition assignment: [('raw_speech_2024_01_01', 0)]
[2024-12-23T20:05:06.988+0000] {conn.py:362} INFO - <BrokerConnection node_id=1 host=broker:29092 <connecting> [IPv4 ('172.19.0.5', 29092)]>: connecting to broker:29092 [('172.19.0.5', 29092) IPv4]
[2024-12-23T20:05:06.989+0000] {conn.py:393} INFO - <BrokerConnection node_id=1 host=broker:29092 <connecting> [IPv4 ('172.19.0.5', 29092)]>: Connection complete.
[2024-12-23T20:05:06.990+0000] {conn.py:673} INFO - <BrokerConnection node_id=bootstrap-0 host=broker:29092 <connected> [IPv4 ('172.19.0.5', 29092)]>: Closing connection. 
[2024-12-23T20:05:08.003+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000001.mp3
[2024-12-23T20:05:10.298+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000002.mp3
