[2024-12-24T03:16:21.173+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-12-24T03:16:21.208+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: streaming_pipeline.speech_to_datalake manual__2024-12-24T03:16:17.303836+00:00 [queued]>
[2024-12-24T03:16:21.221+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: streaming_pipeline.speech_to_datalake manual__2024-12-24T03:16:17.303836+00:00 [queued]>
[2024-12-24T03:16:21.222+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-12-24T03:16:21.241+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): speech_to_datalake> on 2024-12-24 03:16:17.303836+00:00
[2024-12-24T03:16:21.250+0000] {standard_task_runner.py:63} INFO - Started process 255 to run task
[2024-12-24T03:16:21.255+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'streaming_pipeline', 'speech_to_datalake', 'manual__2024-12-24T03:16:17.303836+00:00', '--job-id', '177', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_stream.py', '--cfg-path', '/tmp/tmpgy50qqu1']
[2024-12-24T03:16:21.259+0000] {standard_task_runner.py:91} INFO - Job 177: Subtask speech_to_datalake
[2024-12-24T03:16:21.326+0000] {task_command.py:426} INFO - Running <TaskInstance: streaming_pipeline.speech_to_datalake manual__2024-12-24T03:16:17.303836+00:00 [running]> on host 0b4a5bf62610
[2024-12-24T03:16:21.433+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='streaming_pipeline' AIRFLOW_CTX_TASK_ID='speech_to_datalake' AIRFLOW_CTX_EXECUTION_DATE='2024-12-24T03:16:17.303836+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-24T03:16:17.303836+00:00'
[2024-12-24T03:16:21.435+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-12-24T03:16:21.468+0000] {logging_mixin.py:188} INFO - Bucket raw already exists, skip creating!
[2024-12-24T03:16:21.472+0000] {conn.py:362} INFO - <BrokerConnection node_id=bootstrap-0 host=broker:29092 <connecting> [IPv4 ('172.19.0.9', 29092)]>: connecting to broker:29092 [('172.19.0.9', 29092) IPv4]
[2024-12-24T03:16:21.473+0000] {conn.py:957} INFO - Probing node bootstrap-0 broker version
[2024-12-24T03:16:21.475+0000] {conn.py:393} INFO - <BrokerConnection node_id=bootstrap-0 host=broker:29092 <connecting> [IPv4 ('172.19.0.9', 29092)]>: Connection complete.
[2024-12-24T03:16:21.591+0000] {conn.py:1019} INFO - Broker version identified as 2.6.0
[2024-12-24T03:16:21.592+0000] {conn.py:1020} INFO - Set configuration api_version=(2, 6, 0) to skip auto check_version requests on startup
[2024-12-24T03:16:21.600+0000] {consumer.py:122} WARNING - group_id is None: disabling auto-commit.
[2024-12-24T03:16:21.601+0000] {subscription_state.py:167} INFO - Updating subscribed topics to: ('raw_speech_2024_01_02',)
[2024-12-24T03:16:21.602+0000] {logging_mixin.py:188} INFO - Start consuming messages...
[2024-12-24T03:16:21.848+0000] {subscription_state.py:253} INFO - Updated partition assignment: [('raw_speech_2024_01_02', 0)]
[2024-12-24T03:16:21.851+0000] {conn.py:362} INFO - <BrokerConnection node_id=1 host=broker:29092 <connecting> [IPv4 ('172.19.0.9', 29092)]>: connecting to broker:29092 [('172.19.0.9', 29092) IPv4]
[2024-12-24T03:16:21.852+0000] {conn.py:393} INFO - <BrokerConnection node_id=1 host=broker:29092 <connecting> [IPv4 ('172.19.0.9', 29092)]>: Connection complete.
[2024-12-24T03:16:21.853+0000] {conn.py:673} INFO - <BrokerConnection node_id=bootstrap-0 host=broker:29092 <connected> [IPv4 ('172.19.0.9', 29092)]>: Closing connection. 
[2024-12-24T03:16:22.738+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001113.mp3
[2024-12-24T03:16:25.065+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001114.mp3
[2024-12-24T03:16:27.386+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001115.mp3
[2024-12-24T03:16:29.757+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001117.mp3
[2024-12-24T03:16:32.037+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001118.mp3
[2024-12-24T03:16:34.378+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001119.mp3
[2024-12-24T03:16:36.702+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001120.mp3
[2024-12-24T03:16:39.015+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001121.mp3
[2024-12-24T03:16:41.350+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001123.mp3
[2024-12-24T03:16:43.711+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001124.mp3
[2024-12-24T03:16:45.998+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001125.mp3
[2024-12-24T03:16:48.304+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001126.mp3
[2024-12-24T03:16:50.613+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001127.mp3
[2024-12-24T03:16:52.865+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001128.mp3
[2024-12-24T03:16:55.190+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001129.mp3
[2024-12-24T03:16:57.490+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001130.mp3
[2024-12-24T03:16:59.791+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001131.mp3
[2024-12-24T03:17:02.122+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001132.mp3
[2024-12-24T03:17:04.422+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001133.mp3
[2024-12-24T03:17:06.792+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001134.mp3
[2024-12-24T03:17:09.157+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001135.mp3
[2024-12-24T03:17:11.527+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001136.mp3
[2024-12-24T03:17:13.867+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001137.mp3
[2024-12-24T03:17:16.186+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001138.mp3
[2024-12-24T03:17:18.426+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001139.mp3
[2024-12-24T03:17:20.941+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001140.mp3
[2024-12-24T03:17:23.317+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001141.mp3
[2024-12-24T03:17:25.608+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001142.mp3
[2024-12-24T03:17:28.042+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001143.mp3
[2024-12-24T03:17:30.398+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001144.mp3
[2024-12-24T03:17:32.777+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001145.mp3
[2024-12-24T03:17:35.042+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001146.mp3
[2024-12-24T03:17:37.375+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001147.mp3
[2024-12-24T03:17:39.674+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001148.mp3
[2024-12-24T03:17:41.980+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001149.mp3
[2024-12-24T03:17:44.290+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001150.mp3
[2024-12-24T03:17:46.610+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001151.mp3
[2024-12-24T03:17:48.846+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001152.mp3
[2024-12-24T03:17:51.163+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001153.mp3
[2024-12-24T03:17:53.423+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001154.mp3
[2024-12-24T03:17:55.881+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001155.mp3
[2024-12-24T03:17:58.306+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001156.mp3
[2024-12-24T03:18:00.565+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001157.mp3
[2024-12-24T03:18:02.866+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001158.mp3
[2024-12-24T03:18:05.123+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001159.mp3
[2024-12-24T03:18:07.455+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001160.mp3
[2024-12-24T03:18:09.729+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001161.mp3
[2024-12-24T03:18:12.002+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001162.mp3
[2024-12-24T03:18:14.367+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001163.mp3
[2024-12-24T03:18:16.820+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001164.mp3
[2024-12-24T03:18:19.042+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001165.mp3
[2024-12-24T03:18:21.302+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001166.mp3
[2024-12-24T03:18:23.677+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001167.mp3
[2024-12-24T03:18:25.989+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001168.mp3
[2024-12-24T03:18:28.273+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001169.mp3
[2024-12-24T03:18:30.532+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001170.mp3
[2024-12-24T03:18:32.805+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001171.mp3
[2024-12-24T03:18:35.117+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001172.mp3
[2024-12-24T03:18:37.517+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001173.mp3
[2024-12-24T03:18:39.876+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001174.mp3
[2024-12-24T03:18:42.135+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001175.mp3
[2024-12-24T03:18:44.427+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001176.mp3
[2024-12-24T03:18:46.771+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001177.mp3
[2024-12-24T03:18:49.082+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001178.mp3
[2024-12-24T03:18:51.339+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001179.mp3
[2024-12-24T03:18:53.636+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001180.mp3
[2024-12-24T03:18:55.891+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001181.mp3
[2024-12-24T03:18:58.178+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001182.mp3
[2024-12-24T03:19:00.478+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001183.mp3
[2024-12-24T03:19:02.902+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001184.mp3
[2024-12-24T03:19:05.113+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001185.mp3
[2024-12-24T03:19:07.388+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001186.mp3
[2024-12-24T03:19:09.797+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001187.mp3
[2024-12-24T03:19:12.093+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001188.mp3
[2024-12-24T03:19:14.407+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001189.mp3
[2024-12-24T03:19:16.718+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001190.mp3
[2024-12-24T03:19:19.007+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001191.mp3
[2024-12-24T03:19:21.296+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001192.mp3
[2024-12-24T03:19:23.657+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001193.mp3
